route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
12,0,12,West Tumwater,,3,https://www.intercitytransit.com/plan-your-trip/routes/12,5A8400,ffffff,1,,
13,0,13,East Tumwater,,3,https://www.intercitytransit.com/plan-your-trip/routes/13,C9500E,ffffff,2,,
21,0,21,N Bethel/N Central,,3,https://www.intercitytransit.com/plan-your-trip/routes/21,613FA6,ffffff,3,,
41,0,41,The Evergreen State College,,3,https://www.intercitytransit.com/plan-your-trip/routes/41,B10086,ffffff,4,,
42,0,42,Family Court,,3,https://www.intercitytransit.com/plan-your-trip/routes/42,C9500E,ffffff,5,,
45,0,45,Conger/Capital Mall,,3,https://www.intercitytransit.com/plan-your-trip/routes/45,005BAA,ffffff,6,,
47,0,47,Capital Medical Center,,3,https://www.intercitytransit.com/plan-your-trip/routes/47,613FA6,ffffff,7,,
48,0,48,Capital Mall/Evergreen,,3,https://www.intercitytransit.com/plan-your-trip/routes/48,C9500E,ffffff,8,,
60,0,60,St Peter Hospital,,3,https://www.intercitytransit.com/plan-your-trip/routes/60,613FA6,ffffff,9,,
621,0,62A,Martin Way/NE Lacey,,3,https://www.intercitytransit.com/plan-your-trip/routes/62A,A92023,ffffff,10,,
622,0,62B,Martin Way/The Meadows,,3,https://www.intercitytransit.com/plan-your-trip/routes/62B,A92023,ffffff,11,,
64,0,64,College St/Amtrak,,3,https://www.intercitytransit.com/plan-your-trip/routes/64,337CBB,ffffff,12,,
65,0,65,Hawks Prairie,,3,https://www.intercitytransit.com/plan-your-trip/routes/65,7B9D33,ffffff,13,,
66,0,66,Ruddell Road,,3,https://www.intercitytransit.com/plan-your-trip/routes/66,CE5504,ffffff,14,,
67,0,67,Tri Lake,,3,https://www.intercitytransit.com/plan-your-trip/routes/67,007bff,ffffff,15,,
68,0,68,Yelm Highway/Capital Mall,,3,https://www.intercitytransit.com/plan-your-trip/routes/68,ff1414,000000,16,,
94,0,94,Boulevard Rd./Yelm,,3,https://www.intercitytransit.com/plan-your-trip/routes/94,126844,ffffff,17,,
620,0,620,Olympia/512 P&R Express,,3,https://www.intercitytransit.com/plan-your-trip/routes/620,3397CA,ffffff,18,,
