route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
12,2,t21E-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t258-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t264-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t276-b4B1-sl2,"To Labor and Industries",0,1201,6687_shp,1,1
12,2,t282-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,2,t2BC-b4B3-sl2,"To Labor and Industries",0,1203,6687_shp,1,1
12,2,t2C8-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t2DA-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t2E6-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t320-b4B1-sl2,"To Labor and Industries",0,1201,6687_shp,1,1
12,2,t32C-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,2,t33E-b4B3-sl2,"To Labor and Industries",0,1203,6687_shp,1,1
12,2,t34A-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t384-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t390-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t3A2-b4B1-sl2,"To Labor and Industries",0,1201,6687_shp,1,1
12,2,t3AE-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,2,t3E8-b4B3-sl2,"To Labor and Industries",0,1203,6687_shp,1,1
12,2,t3F4-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t406-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t412-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t44C-b4B1-sl2,"To Labor and Industries",0,1201,6687_shp,1,1
12,2,t458-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,2,t46A-b4B3-sl2,"To Labor and Industries",0,1203,6687_shp,1,1
12,2,t476-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t4B0-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t4BC-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t4CE-b4B1-sl2,"To Labor and Industries",0,1201,6687_shp,1,1
12,2,t4DA-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,2,t514-b4B3-sl2,"To Labor and Industries",0,1203,6687_shp,1,1
12,2,t520-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t532-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t53E-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t578-b4B1-sl2,"To Labor and Industries",0,1201,6687_shp,1,1
12,2,t584-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,2,t596-b4B3-sl2,"To Labor and Industries",0,1203,6687_shp,1,1
12,2,t5A2-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t5DC-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t5E8-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t5FA-b4B1-sl2,"To Labor and Industries",0,1201,6687_shp,1,1
12,2,t606-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,2,t640-b4B3-sl2,"To Labor and Industries",0,1203,6687_shp,1,1
12,2,t64C-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t65E-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t66A-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t6A4-b4B1-sl2,"To Labor and Industries",0,1201,6687_shp,1,1
12,2,t6B0-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,2,t6C2-b4B3-sl2,"To Labor and Industries",0,1203,6687_shp,1,1
12,2,t6CE-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t708-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t714-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t726-b4B1-sl2,"To Labor and Industries",0,1201,6687_shp,1,1
12,2,t732-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,2,t76C-b4B3-sl2,"To Labor and Industries",0,1203,6687_shp,1,1
12,2,t778-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t78A-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t796-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t7D0-b4B1-sl2,"To Labor and Industries",0,1201,6687_shp,1,1
12,2,t7DC-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,2,t7EE-b4B3-sl2,"To Labor and Industries",0,1203,6687_shp,1,1
12,2,t7FA-b4B1-sl2,"To Olympia Transit Center",1,1201,6667_shp,1,1
12,2,t834-b4B2-sl2,"To Labor and Industries",0,1202,6687_shp,1,1
12,2,t840-b4B3-sl2,"To Olympia Transit Center",1,1203,6667_shp,1,1
12,2,t85E-b4B2-sl2,"To Olympia Transit Center",1,1202,6667_shp,1,1
12,3,t2DA-b4B1-sl3,"To Labor and Industries",0,1201,6684_shp,1,1
12,3,t2E6-b4B2-sl3,"To Olympia Transit Center",1,1202,6668_shp,1,1
12,3,t320-b4B3-sl3,"To Labor and Industries",0,1203,6684_shp,1,1
12,3,t32C-b4B1-sl3,"To Olympia Transit Center",1,1201,6668_shp,1,1
12,3,t33E-b4B2-sl3,"To Labor and Industries",0,1202,6684_shp,1,1
12,3,t34A-b4B3-sl3,"To Olympia Transit Center",1,1203,6668_shp,1,1
12,3,t384-b4B1-sl3,"To Labor and Industries",0,1201,6684_shp,1,1
12,3,t390-b4B2-sl3,"To Olympia Transit Center",1,1202,6668_shp,1,1
12,3,t3A2-b4B3-sl3,"To Labor and Industries",0,1203,6684_shp,1,1
12,3,t3AE-b4B1-sl3,"To Olympia Transit Center",1,1201,6668_shp,1,1
12,3,t3E8-b4B2-sl3,"To Labor and Industries",0,1202,6684_shp,1,1
12,3,t3F4-b4B3-sl3,"To Olympia Transit Center",1,1203,6668_shp,1,1
12,3,t406-b4B1-sl3,"To Labor and Industries",0,1201,6684_shp,1,1
12,3,t412-b4B2-sl3,"To Olympia Transit Center",1,1202,6668_shp,1,1
12,3,t44C-b4B3-sl3,"To Labor and Industries",0,1203,6684_shp,1,1
